291 499
108 95 110
96 95 81
97 96 81
96 110 95
98 97 83
85 100 99
85 88 100
88 90 119
119 90 101
101 90 102
104 101 102
102 105 104
105 102 103
105 103 92
92 91 105
91 121 105
106 121 91
106 93 94
106 94 123
108 107 94
109 107 108
109 108 110
111 110 96
97 111 96
110 111 112
113 111 97
98 113 97
113 112 111
113 114 112
98 115 113
99 115 98
115 116 127
115 114 113
114 115 127
100 115 99
100 117 116
100 116 115
100 118 117
88 118 100
88 119 118
119 101 120
104 120 101
130 104 105
121 130 105
130 121 122
122 121 106
123 122 106
123 94 107
132 107 109
132 109 124
124 109 134
134 109 110
125 110 112
110 125 134
114 126 112
126 125 112
114 127 126
128 127 116
126 127 128
116 139 128
117 139 116
117 129 139
118 129 117
129 118 141
141 118 119
141 119 142
142 120 143
120 142 119
104 143 120
144 143 104
130 144 104
145 144 130
146 130 122
146 145 130
122 131 146
123 131 122
123 132 131
107 132 123
132 124 133
148 124 134
135 134 125
135 125 136
135 148 134
126 136 125
136 126 138
136 138 151
136 151 135
138 126 128
138 128 137
139 137 128
137 139 155
140 139 129
140 155 139
129 141 140
140 141 156
142 156 141
142 143 158
143 161 159
161 143 144
144 162 161
145 163 162
145 162 144
146 165 163
146 163 145
146 131 164
146 164 165
164 131 132
133 164 132
133 124 147
147 124 148
147 148 167
150 148 135
150 135 149
150 167 148
151 149 135
151 138 152
138 153 152
137 153 138
137 154 153
137 155 154
140 156 168
140 168 155
157 156 142
158 157 142
158 143 159
160 159 161
160 161 162
164 133 166
147 166 133
168 154 155
169 168 156
169 156 157
175 157 158
169 157 175
158 159 160
176 158 160
175 158 176
160 177 176
160 162 170
177 160 170
163 170 162
170 171 177
163 171 170
165 171 163
165 172 171
164 172 165
164 166 172
147 173 166
147 167 182
147 182 180
173 147 180
183 167 150
167 183 182
149 183 150
151 184 149
184 183 149
184 152 174
152 184 151
174 152 153
174 153 185
185 153 154
154 168 185
187 169 175
188 175 176
189 176 177
188 176 189
171 178 177
178 189 177
171 179 178
172 179 171
172 173 179
166 173 172
181 173 180
203 184 174
184 203 183
191 174 185
203 174 191
186 185 168
186 191 185
169 186 168
187 186 169
188 187 175
178 192 189
179 192 178
192 179 181
181 179 173
180 202 181
202 180 190
190 180 182
182 183 190
203 190 183
201 186 187
186 201 191
201 187 188
201 188 189
193 93 199
193 194 95
199 194 193
95 194 81
83 81 194
86 195 87
87 195 196
196 89 87
197 89 196
197 198 92
198 93 92
93 198 199
82 194 195
83 194 82
82 195 86
200 198 197
200 194 199
194 200 195
196 195 200
196 200 197
200 199 198
202 190 203
191 201 203
192 201 189
192 181 202
192 202 201
203 201 202
217 205 208
207 217 208
205 216 209
208 205 209
209 216 211
216 206 211
211 206 210
206 217 207
210 206 207
213 207 214
207 208 214
214 208 212
208 209 212
212 209 215
209 211 215
211 210 213
210 207 213
215 211 213
214 212 215
205 217 221
218 205 221
216 218 219
216 205 218
206 216 219
206 219 220
217 220 221
217 206 220
221 204 218
219 218 204
220 219 204
221 220 204
224 233 225
228 224 225
225 233 226
233 234 226
226 234 227
234 223 227
223 224 228
230 228 225
225 226 229
226 227 229
229 227 231
227 223 231
223 228 230
231 223 230
231 230 232
230 225 232
225 229 232
229 231 232
223 234 224
224 235 236
233 224 236
234 236 237
234 233 236
234 237 238
224 234 238
235 224 238
236 235 222
237 236 222
238 237 222
235 238 222
250 240 241
245 241 240
240 249 245
245 249 242
242 249 243
243 249 244
249 250 244
250 241 244
245 246 241
242 243 248
243 244 248
244 241 246
244 246 248
245 242 247
247 242 248
246 245 247
250 254 251
240 250 251
240 251 252
249 240 252
249 252 253
249 253 254
250 249 254
251 254 239
252 251 239
253 252 239
254 253 239
257 256 258
256 266 258
266 267 259
258 266 259
267 255 260
259 267 260
255 256 257
260 255 257
260 257 262
257 258 262
262 258 264
264 258 261
258 259 261
259 260 261
261 260 263
263 260 262
262 264 265
264 261 263
263 262 265
256 271 268
269 266 268
266 256 268
267 266 269
267 269 270
255 270 271
255 267 270
256 255 271
268 271 272
269 268 272
270 269 272
271 270 272
273 274 275
276 273 275
274 277 278
275 274 278
277 279 280
278 277 280
279 281 282
280 279 282
281 283 284
282 281 284
283 285 286
284 283 286
285 287 288
286 285 288
287 289 290
288 287 290
289 273 276
289 276 290
281 279 283
279 277 283
283 277 285
274 273 289
277 274 289
287 277 289
285 277 287
280 282 284
278 280 284
278 284 286
276 275 290
275 278 290
278 288 290
278 286 288
